id,figure_number,title,clean_caption,normalized_summary,figure_type,asrs_type,container_type,max_depth_ft,max_depth_m,max_spacing_ft,max_spacing_m,ceiling_height_ft,aisle_width_ft,related_tables,applicable_commodities,system_requirements,special_conditions,machine_readable_claims,callouts_labels,axis_titles,axis_units,embedded_tables,footnotes,page_number,section_reference,embedding,search_keywords,created_at,updated_at
b4ac33b0-5e7a-4422-86a3-dd2aaf13ed57,1,Summarized guidance on how to navigate Data Sheet 8-34,Summarized guidance on how to navigate Data Sheet 8-34,This flowchart provides step-by-step navigation through FM Global 8-34 requirements based on ASRS type and configuration,Navigation/Decision Tree,All,,,,,,,,[],"[""All Commodities""]",,,"{""outcome"": ""Applicable Table Selection"", ""decision_points"": [""ASRS Type"", ""Container Configuration"", ""Protection Scheme""]}","[""Decision Points"",""ASRS Types"",""Protection Options""]",,,,"[""Start with ASRS system identification"",""Follow arrows for table selection""]",8,Section 1.0,,"[""navigation"",""decision tree"",""guidance"",""flowchart"",""table selection""]",2025-09-02 19:10:04.66349,2025-09-02 19:10:04.66349
dfa0bc4d-25d4-4f61-97c8-81dc2f63012f,2,Example of a shuttle horizontal-loading ASRS,Example of a shuttle horizontal-loading ASRS,"This diagram shows a shuttle ASRS system with horizontal loading mechanism, featuring slats/mesh shelving and unobstructed flow paths",System Diagram,Shuttle,Mixed,,,,,,,[],"[""All Commodities""]",,,"{""flow"": ""Unobstructed"", ""shelving"": ""Slats/Mesh"", ""system_type"": ""Shuttle"", ""loading_direction"": ""Horizontal""}","[""Shuttle Mechanism"",""Horizontal Loading"",""Slat Shelving"",""Flow Paths""]",,,,"[""Shuttle systems use slats or mesh for unobstructed flow""]",14,Section 2.1,,"[""shuttle"",""horizontal loading"",""slats"",""mesh"",""unobstructed flow""]",2025-09-02 19:10:04.66349,2025-09-02 19:10:04.66349
7b87865d-bc26-4162-bed5-48475a82db50,3,Example of a mini-load ASRS having angle irons that support the trays and/or containers,Example of a mini-load ASRS having angle irons that support the trays and/or containers,This diagram shows a mini-load ASRS system using angle iron supports with 2-foot spacing between storage levels,System Diagram,Mini-Load,Mixed,,,2.0,0.6,,,[],"[""All Commodities""]",,,"{""spacing"": ""2 ft typical"", ""system_type"": ""Mini-Load"", ""support_type"": ""Angle Iron"", ""container_support"": ""Direct on Rails""}","[""Angle Iron Supports"",""2ft Spacing"",""Container Storage""]",,,,"[""Mini-load systems typically have 2 ft vertical spacing between tiers""]",15,Section 2.2,,"[""mini-load"",""angle iron"",""supports"",""containers"",""trays"",""2 foot spacing""]",2025-09-02 19:10:04.66349,2025-09-02 19:10:04.66349
4bd1cb0e-db7a-471d-af30-8e65de43c4b1,4,"Horizontal IRAS Arrangement for Closed-Top Combustible Containers, or Storage Trays within a Shuttle ASRS Where Rack Row Depths Do Not Exceed 3 ft (0.9 m) per Table 14 and the Maximum Allowable Horizontal Spacing is 2-1/2 ft (0.75 m)","Horizontal IRAS Arrangement for Closed-Top Combustible Containers, or Storage Trays within a Shuttle ASRS Where Rack Row Depths Do Not Exceed 3 ft (0.9 m) per Table 14 and the Maximum Allowable Horizontal Spacing is 2-1/2 ft (0.75 m)","For shuttle ASRS with rack depth ≤3 ft and horizontal sprinkler spacing ≤2.5 ft, use this 8-sprinkler layout numbered 1-8 with maximum 18-inch vertical offset",Sprinkler Layout,Shuttle,Closed-Top,3.0,0.9,2.5,0.75,,,"[""14""]","[""Closed-Top Combustible"",""Storage Trays""]",,,"{""numbering"": ""1-8"", ""max_spacing"": 2.5, ""max_rack_depth"": 3, ""sprinkler_count"": 8, ""max_vertical_offset"": 18}","[""Max 3 ft"",""Max 2-1/2 ft"",""IRAS"",""Max 18 in."",""Sprinkler Numbers 1-8""]",,,,"[""Sprinklers numbered for hydraulic design selection"",""IRAS do not need to align with transverse flue spaces""]",32,Section 2.2.3.2.1,,"[""shuttle"",""IRAS"",""horizontal"",""3 ft depth"",""2.5 ft spacing"",""closed-top"",""Table 14""]",2025-09-02 19:10:04.66349,2025-09-02 19:10:04.66349
5802c232-976b-460a-bf3a-74d210143841,5,"Horizontal IRAS Arrangement for Closed-Top Combustible Containers, or Storage on Trays within a Shuttle ASRS Where Rack Row Depths Do Not Exceed 3 ft (0.9 m) per Table 14, and the Maximum Allowable Horizontal Spacing is 5 ft (1.5 m)","Horizontal IRAS Arrangement for Closed-Top Combustible Containers, or Storage on Trays within a Shuttle ASRS Where Rack Row Depths Do Not Exceed 3 ft (0.9 m) per Table 14, and the Maximum Allowable Horizontal Spacing is 5 ft (1.5 m)","For shuttle ASRS with rack depth ≤3 ft and horizontal sprinkler spacing ≤5 ft, use this 8-sprinkler layout with wider spacing allowance",Sprinkler Layout,Shuttle,Closed-Top,3.0,0.9,5.0,1.5,,,"[""14""]","[""Closed-Top Combustible"",""Storage Trays""]",,,"{""numbering"": ""1-8"", ""max_spacing"": 5, ""max_rack_depth"": 3, ""sprinkler_count"": 8, ""max_vertical_offset"": 18}","[""Max 3 ft"",""Max 5 ft"",""IRAS"",""Max 18 in."",""Sprinkler Numbers 1-8""]",,,,"[""Wider spacing allowed for adequate transverse flue spaces""]",32,Section 2.2.3.2.1,,"[""shuttle"",""IRAS"",""horizontal"",""3 ft depth"",""5 ft spacing"",""closed-top"",""Table 14""]",2025-09-02 19:10:04.66349,2025-09-02 19:10:04.66349
e354c8d6-55be-47e5-86bc-b69ec0386a89,6,"Horizontal IRAS Arrangement for Closed-Top Combustible Containers, or Storage on Trays within a Shuttle ASRS Where Rack Row Depths Do Not Exceed 6 ft (1.8 m) per Table 14 and the Maximum Allowable Horizontal Spacing is 2-1/2 ft (0.75 m)","Horizontal IRAS Arrangement for Closed-Top Combustible Containers, or Storage on Trays within a Shuttle ASRS Where Rack Row Depths Do Not Exceed 6 ft (1.8 m) per Table 14 and the Maximum Allowable Horizontal Spacing is 2-1/2 ft (0.75 m)","For shuttle ASRS with rack depth ≤6 ft and horizontal sprinkler spacing ≤2.5 ft, use this arrangement with sprinklers numbered 1,3,5,7 for hydraulic design",Sprinkler Layout,Shuttle,Closed-Top,6.0,1.8,2.5,0.75,,,"[""14""]","[""Closed-Top Combustible"",""Storage Trays""]",,,"{""numbering"": ""1,3,5,7"", ""max_spacing"": 2.5, ""max_rack_depth"": 6, ""sprinkler_count"": 4, ""max_vertical_offset"": 18}","[""Max 6 ft"",""Max 2-1/2 ft"",""IRAS"",""Max 18 in."",""Sprinkler Numbers 1,3,5,7""]",,,,"[""Deeper racks require different sprinkler selection pattern""]",32,Section 2.2.3.2.1,,"[""shuttle"",""IRAS"",""horizontal"",""6 ft depth"",""2.5 ft spacing"",""closed-top"",""Table 14""]",2025-09-02 19:10:04.66349,2025-09-02 19:10:04.66349
e165d337-03a9-4c38-b79e-25209a661733,7,"Horizontal IRAS Arrangement for Closed-Top Combustible Containers, or Storage on Trays within a Shuttle ASRS Where Rack Row Depths Do Not Exceed 6 ft (1.8 m) and the Maximum Allowable Horizontal Spacing is 5 ft (1.5 m)","Horizontal IRAS Arrangement for Closed-Top Combustible Containers, or Storage on Trays within a Shuttle ASRS Where Rack Row Depths Do Not Exceed 6 ft (1.8 m) and the Maximum Allowable Horizontal Spacing is 5 ft (1.5 m)","For shuttle ASRS with rack depth ≤6 ft and wider horizontal sprinkler spacing ≤5 ft, use this arrangement with adequate transverse flue spaces",Sprinkler Layout,Shuttle,Closed-Top,6.0,1.8,5.0,1.5,,,"[""14""]","[""Closed-Top Combustible"",""Storage Trays""]",,,"{""numbering"": ""1,3,5,7"", ""max_spacing"": 5, ""max_rack_depth"": 6, ""sprinkler_count"": 4, ""requires_flue_spaces"": true}","[""Max 6 ft"",""Max 5 ft"",""IRAS"",""Transverse Flue Spaces""]",,,,"[""Wider spacing requires adequate transverse flue spaces per Section 2.2.1.4""]",33,Section 2.2.3.2.1,,"[""shuttle"",""IRAS"",""horizontal"",""6 ft depth"",""5 ft spacing"",""closed-top"",""Table 14"",""flue spaces""]",2025-09-02 19:16:34.530134,2025-09-02 19:16:34.530134
ca490ee8-55c7-4bff-b8ae-b9c427d5b0f2,8,"Horizontal IRAS Arrangement for Closed-Top Combustible Containers, or Storage on Trays within a Shuttle ASRS Where Rack Row Depths Do Not Exceed 6 ft (1.8 m) and the Maximum Allowable Horizontal Spacing is 8 ft (2.4 m)","Horizontal IRAS Arrangement for Closed-Top Combustible Containers, or Storage on Trays within a Shuttle ASRS Where Rack Row Depths Do Not Exceed 6 ft (1.8 m) and the Maximum Allowable Horizontal Spacing is 8 ft (2.4 m)","For shuttle ASRS with rack depth ≤6 ft and maximum horizontal sprinkler spacing ≤8 ft, use this wide-spaced arrangement for specific ceiling height and aisle width combinations",Sprinkler Layout,Shuttle,Closed-Top,6.0,1.8,8.0,2.4,30.0,3.5,"[""14""]","[""Closed-Top Combustible"",""Storage Trays""]",,,"{""max_spacing"": 8, ""max_rack_depth"": 6, ""sprinkler_count"": 6, ""aisle_width_limit"": 3.5, ""ceiling_height_limit"": 30}","[""Max 6 ft"",""Max 8 ft"",""IRAS"",""Ceiling Height ≤30 ft"",""Aisle Width ≥3.5 ft""]",,,,"[""Maximum spacing configuration for specific geometric constraints""]",34,Section 2.2.3.2.1,,"[""shuttle"",""IRAS"",""horizontal"",""6 ft depth"",""8 ft spacing"",""closed-top"",""Table 14"",""ceiling height"",""aisle width""]",2025-09-02 19:16:34.530134,2025-09-02 19:16:34.530134
cfbbbf95-9d47-434a-b5bc-501d117687bd,9,"Horizontal IRAS Arrangement for Closed-Top Combustible Containers, or Storage on Trays within a Shuttle ASRS Where Rack Row Depths Do Not Exceed 9 ft (2.7 m)","Horizontal IRAS Arrangement for Closed-Top Combustible Containers, or Storage on Trays within a Shuttle ASRS Where Rack Row Depths Do Not Exceed 9 ft (2.7 m)","For shuttle ASRS with rack depth ≤9 ft, use this deeper rack arrangement with adjusted sprinkler positioning for 2.5 ft spacing",Sprinkler Layout,Shuttle,Closed-Top,9.0,2.7,2.5,0.75,,,"[""14""]","[""Closed-Top Combustible"",""Storage Trays""]",,,"{""numbering"": ""1,2,5,6,9,10"", ""max_spacing"": 2.5, ""max_rack_depth"": 9, ""sprinkler_count"": 6}","[""Max 9 ft"",""Max 2-1/2 ft"",""IRAS"",""Deep Rack Configuration""]",,,,"[""Deeper rack configuration requires specific sprinkler selection pattern""]",35,Section 2.2.3.2.1,,"[""shuttle"",""IRAS"",""horizontal"",""9 ft depth"",""2.5 ft spacing"",""closed-top"",""Table 14"",""deep rack""]",2025-09-02 19:16:34.530134,2025-09-02 19:16:34.530134
350a6be0-0c90-45cb-ba80-f26275bafcd4,10,"Horizontal IRAS Arrangement for Closed-Top Combustible Containers, or Storage on Trays within a Shuttle ASRS Where Rack Row Depths Do Not Exceed 9 ft (2.7 m) with 5 ft Spacing","Horizontal IRAS Arrangement for Closed-Top Combustible Containers, or Storage on Trays within a Shuttle ASRS Where Rack Row Depths Do Not Exceed 9 ft (2.7 m) with 5 ft Spacing","For shuttle ASRS with rack depth ≤9 ft and wider spacing ≤5 ft, use this arrangement with adequate transverse flue spaces",Sprinkler Layout,Shuttle,Closed-Top,9.0,2.7,5.0,1.5,,,"[""14""]","[""Closed-Top Combustible"",""Storage Trays""]",,,"{""max_spacing"": 5, ""max_rack_depth"": 9, ""sprinkler_count"": 4, ""requires_flue_spaces"": true}","[""Max 9 ft"",""Max 5 ft"",""IRAS"",""Transverse Flue Spaces""]",,,,"[""Wider spacing for deeper racks requires adequate flue spaces""]",36,Section 2.2.3.2.1,,"[""shuttle"",""IRAS"",""horizontal"",""9 ft depth"",""5 ft spacing"",""closed-top"",""Table 14"",""deep rack"",""flue spaces""]",2025-09-02 19:16:34.530134,2025-09-02 19:16:34.530134
